Epoch,Loss,Total,Valid,Valid_rate,Unique,Unique_rate,Similarity
1,1.634,1376,2,0.15,2,100.00,0.008
2,0.808,1376,24,1.74,24,100.00,0.119
3,0.483,1376,131,9.52,131,100.00,0.153
4,0.376,1376,378,27.47,377,99.74,0.174
5,0.328,1376,616,44.77,600,97.40,0.188
6,0.299,1376,709,51.53,660,93.09,0.182
7,0.279,1376,791,57.49,741,93.68,0.181
8,0.262,1376,808,58.72,775,95.92,0.176
9,0.249,1376,860,62.50,808,93.95,0.180
10,0.238,1376,936,68.02,878,93.80,0.177
11,0.228,1376,1009,73.33,934,92.57,0.172
12,0.219,1376,998,72.53,909,91.08,0.175
13,0.210,1376,1001,72.75,891,89.01,0.177
14,0.202,1376,1105,80.31,978,88.51,0.171
15,0.195,1376,1047,76.09,950,90.74,0.164
16,0.189,1376,1100,79.94,979,89.00,0.182
17,0.182,1376,1117,81.18,996,89.17,0.176
18,0.176,1376,1114,80.96,935,83.93,0.178
19,0.170,1376,1112,80.81,941,84.62,0.186
20,0.166,1376,1161,84.38,959,82.60,0.180
21,0.160,1376,1180,85.76,984,83.39,0.183
22,0.156,1376,1181,85.83,938,79.42,0.176
23,0.152,1376,1218,88.52,980,80.46,0.177
24,0.162,1376,1194,86.77,964,80.74,0.176
25,0.148,1376,1216,88.37,993,81.66,0.172
26,0.142,1376,1213,88.15,960,79.14,0.176
27,0.139,1376,1237,89.90,993,80.27,0.180
28,0.136,1376,1205,87.57,1003,83.24,0.178
29,0.135,1376,1239,90.04,1043,84.18,0.174
30,0.132,1376,1248,90.70,991,79.41,0.176
31,0.131,1376,1254,91.13,996,79.43,0.178
32,0.129,1376,1232,89.53,1004,81.49,0.179
33,0.128,1376,1256,91.28,1034,82.32,0.175
34,0.127,1376,1246,90.55,992,79.61,0.179
35,0.125,1376,1241,90.19,1008,81.22,0.177
36,0.123,1376,1261,91.64,998,79.14,0.178
37,0.123,1376,1251,90.92,1023,81.77,0.170
38,0.122,1376,1277,92.81,1023,80.11,0.176
39,0.121,1376,1263,91.79,1025,81.16,0.175
40,0.121,1376,1289,93.68,992,76.96,0.173
41,0.119,1376,1279,92.95,1052,82.25,0.173
42,0.118,1376,1292,93.90,1019,78.87,0.174
43,0.118,1376,1294,94.04,1071,82.77,0.169
44,0.119,1376,1297,94.26,1025,79.03,0.177
45,0.117,1376,1285,93.39,1051,81.79,0.174
46,0.116,1376,1293,93.97,1032,79.81,0.174
47,0.115,1376,1285,93.39,1030,80.16,0.171
48,0.120,1376,1281,93.10,991,77.36,0.176
49,0.115,1376,1301,94.55,1045,80.32,0.169
50,0.114,1376,1304,94.77,1050,80.52,0.177
51,0.114,1376,1311,95.28,1066,81.31,0.173
52,0.113,1376,1291,93.82,1037,80.33,0.177
53,0.112,1376,1299,94.40,1056,81.29,0.173
54,0.112,1376,1316,95.64,1026,77.96,0.175
55,0.112,1376,1302,94.62,1026,78.80,0.173
56,0.111,1376,1307,94.99,1023,78.27,0.174
57,0.111,1376,1306,94.91,1076,82.39,0.175
58,0.110,1376,1298,94.33,1068,82.28,0.177
59,0.110,1376,1332,96.80,1081,81.16,0.178
60,0.110,1376,1290,93.75,1038,80.47,0.172
61,0.110,1376,1324,96.22,1088,82.18,0.177
62,0.109,1376,1314,95.49,1068,81.28,0.178
63,0.108,1376,1319,95.86,1077,81.65,0.172
64,0.108,1376,1336,97.09,1063,79.57,0.176
65,0.109,1376,1321,96.00,1073,81.23,0.172
66,0.109,1376,1333,96.88,1086,81.47,0.174
67,0.107,1376,1315,95.57,1077,81.90,0.175
68,0.107,1376,1319,95.86,1079,81.80,0.170
69,0.107,1376,1321,96.00,1073,81.23,0.177
70,0.107,1376,1324,96.22,1068,80.66,0.172
71,0.106,1376,1342,97.53,1071,79.81,0.174
72,0.106,1376,1333,96.88,1106,82.97,0.174
73,0.106,1376,1323,96.15,1066,80.57,0.175
74,0.108,1376,1280,93.02,1024,80.00,0.173
75,0.109,1376,1329,96.58,1066,80.21,0.168
76,0.106,1376,1332,96.80,1083,81.31,0.174
77,0.105,1376,1317,95.71,1040,78.97,0.175
78,0.105,1376,1327,96.44,1080,81.39,0.175
79,0.105,1376,1339,97.31,1084,80.96,0.175
80,0.104,1376,1341,97.46,1083,80.76,0.168
81,0.106,1376,1337,97.17,1070,80.03,0.171
82,0.105,1376,1329,96.58,1067,80.29,0.175
83,0.104,1376,1324,96.22,1074,81.12,0.169
84,0.103,1376,1344,97.67,1078,80.21,0.177
85,0.104,1376,1322,96.08,1068,80.79,0.176
86,0.104,1376,1345,97.75,1083,80.52,0.174
87,0.103,1376,1333,96.88,1068,80.12,0.169
88,0.103,1376,1350,98.11,1091,80.81,0.171
89,0.103,1376,1341,97.46,1099,81.95,0.175
90,0.102,1376,1332,96.80,1091,81.91,0.175
91,0.102,1376,1343,97.60,1111,82.73,0.173
92,0.102,1376,1341,97.46,1062,79.19,0.177
93,0.102,1376,1328,96.51,1028,77.41,0.176
94,0.102,1376,1342,97.53,1095,81.59,0.175
95,0.102,1376,1338,97.24,1082,80.87,0.175
96,0.102,1376,1350,98.11,1084,80.30,0.178
97,0.102,1376,1340,97.38,1097,81.87,0.175
98,0.101,1376,1341,97.46,1085,80.91,0.174
99,0.102,1376,1335,97.02,1098,82.25,0.170
100,0.101,1376,1349,98.04,1106,81.99,0.174
