Epoch,Loss,Total,Valid,Valid_rate,Unique,Unique_rate,Similarity
1,1.636,1376,0,0.00,0,0.00,0.000
2,0.809,1376,7,0.51,7,100.00,0.149
3,0.535,1376,36,2.62,36,100.00,0.167
4,0.414,1376,117,8.50,117,100.00,0.170
5,0.356,1376,278,20.20,275,98.92,0.182
6,0.322,1376,452,32.85,446,98.67,0.187
7,0.292,1376,513,37.28,491,95.71,0.192
8,0.274,1376,545,39.61,520,95.41,0.192
9,0.256,1376,667,48.47,619,92.80,0.192
10,0.241,1376,697,50.65,636,91.25,0.191
11,0.228,1376,754,54.80,702,93.10,0.200
12,0.215,1376,752,54.65,668,88.83,0.204
13,0.204,1376,830,60.32,776,93.49,0.195
14,0.192,1376,901,65.48,803,89.12,0.203
15,0.179,1376,901,65.48,806,89.46,0.201
16,0.169,1376,915,66.50,798,87.21,0.204
17,0.158,1376,918,66.72,820,89.32,0.205
18,0.149,1376,939,68.24,837,89.14,0.203
19,0.138,1376,1032,75.00,884,85.66,0.196
20,0.127,1376,970,70.49,840,86.60,0.207
21,0.118,1376,982,71.37,845,86.05,0.201
22,0.113,1376,1010,73.40,874,86.53,0.211
23,0.103,1376,1025,74.49,822,80.20,0.216
24,0.096,1376,1035,75.22,866,83.67,0.208
25,0.090,1376,1033,75.07,854,82.67,0.222
26,0.083,1376,1082,78.63,875,80.87,0.208
27,0.078,1376,1038,75.44,842,81.12,0.219
28,0.076,1376,1038,75.44,860,82.85,0.221
29,0.072,1376,1080,78.49,867,80.28,0.220
30,0.068,1376,1081,78.56,870,80.48,0.222
31,0.063,1376,1083,78.71,893,82.46,0.225
32,0.060,1376,1130,82.12,903,79.91,0.222
33,0.058,1376,1126,81.83,889,78.95,0.219
34,0.055,1376,1092,79.36,902,82.60,0.225
35,0.053,1376,1117,81.18,904,80.93,0.232
36,0.054,1376,1084,78.78,895,82.56,0.226
37,0.049,1376,1108,80.52,879,79.33,0.232
38,0.045,1376,1118,81.25,925,82.74,0.222
39,0.044,1376,1123,81.61,881,78.45,0.233
40,0.043,1376,1116,81.10,903,80.91,0.225
41,0.042,1376,1138,82.70,911,80.05,0.227
42,0.039,1376,1114,80.96,887,79.62,0.236
43,0.037,1376,1147,83.36,918,80.03,0.231
44,0.036,1376,1126,81.83,854,75.84,0.234
45,0.034,1376,1114,80.96,907,81.42,0.231
46,0.034,1376,1143,83.07,880,76.99,0.226
47,0.033,1376,1136,82.56,894,78.70,0.231
48,0.031,1376,1148,83.43,911,79.36,0.230
49,0.034,1376,1128,81.98,920,81.56,0.239
50,0.030,1376,1142,82.99,911,79.77,0.232
51,0.028,1376,1168,84.88,917,78.51,0.236
52,0.027,1376,1155,83.94,906,78.44,0.240
53,0.027,1376,1132,82.27,903,79.77,0.240
